Name;Dataset;z;seed
QSO_394;RD0152;2.8;12061946
QSO_395;RD0152;2.8;12061947
QSO_396;RD0152;2.8;12061948
QSO_397;RD0152;2.8;12061949
QSO_398;RD0152;2.8;12061950
QSO_399;RD0152;2.8;12061951
QSO_400;RD0152;2.8;12061952
QSO_401;RD0152;2.85;12061943
QSO_402;RD0152;2.85;12061944
QSO_403;RD0152;2.85;12061945
QSO_404;RD0152;2.85;12061946
QSO_405;RD0152;2.85;12061947
QSO_406;RD0152;2.85;12061948
QSO_407;RD0152;2.85;12061949
QSO_408;RD0152;2.85;12061950
QSO_409;RD0152;2.85;12061951
QSO_410;RD0152;2.85;12061952
QSO_411;RD0152;2.9;12061943
QSO_412;RD0152;2.9;12061944
QSO_413;RD0152;2.9;12061945
QSO_414;RD0152;2.9;12061946
QSO_415;RD0152;2.9;12061947
QSO_416;RD0152;2.9;12061948
QSO_417;RD0152;2.9;12061949
QSO_418;RD0152;2.9;12061950
QSO_419;RD0152;2.9;12061951
QSO_420;RD0152;2.9;12061952
QSO_421;RD0152;2.95;12061943
QSO_422;RD0152;2.95;12061944
QSO_423;RD0152;2.95;12061945
QSO_424;RD0152;2.95;12061946
QSO_425;RD0152;2.95;12061947
QSO_426;RD0152;2.95;12061948
QSO_427;RD0152;2.95;12061949
QSO_428;RD0152;2.95;12061950
QSO_429;RD0152;2.95;12061951
QSO_430;RD0152;2.95;12061952
QSO_431;RD0152;3;12061943
QSO_432;RD0152;3;12061944
QSO_433;RD0152;3;12061945
QSO_434;RD0152;3;12061946
QSO_435;RD0152;3;12061947
QSO_436;RD0152;3;12061948
QSO_437;RD0152;3;12061949
QSO_438;RD0152;3;12061950
QSO_439;RD0152;3;12061951
QSO_440;RD0152;3;12061952
QSO_441;RD0152;3.05;12061943
QSO_442;RD0152;3.05;12061944
QSO_443;RD0152;3.05;12061945
QSO_444;RD0152;3.05;12061946
QSO_445;RD0152;3.05;12061947
QSO_446;RD0152;3.05;12061948
QSO_447;RD0152;3.05;12061949
QSO_448;RD0152;3.05;12061950
QSO_449;RD0152;3.05;12061951
QSO_450;RD0152;3.05;12061952
QSO_451;RD0152;3.1;12061943
QSO_452;RD0152;3.1;12061944
QSO_453;RD0152;3.1;12061945
QSO_454;RD0152;3.1;12061946
QSO_455;RD0152;3.1;12061947
QSO_456;RD0152;3.1;12061948
QSO_457;RD0152;3.1;12061949
QSO_458;RD0152;3.1;12061950
QSO_459;RD0152;3.1;12061951
QSO_460;RD0152;3.1;12061952
QSO_461;RD0152;3.15;12061943
QSO_462;RD0152;3.15;12061944
QSO_463;RD0152;3.15;12061945
QSO_464;RD0152;3.15;12061946
QSO_465;RD0152;3.15;12061947
QSO_466;RD0152;3.15;12061948
QSO_467;RD0152;3.15;12061949
QSO_468;RD0152;3.15;12061950
QSO_469;RD0152;3.15;12061951
QSO_470;RD0152;3.15;12061952
QSO_471;RD0152;3.2;12061943
QSO_472;RD0152;3.2;12061944
QSO_473;RD0152;3.2;12061945
QSO_474;RD0152;3.2;12061946
QSO_475;RD0152;3.2;12061947
QSO_476;RD0152;3.2;12061948
QSO_477;RD0152;3.2;12061949
QSO_478;RD0152;3.2;12061950
QSO_479;RD0152;3.2;12061951
QSO_480;RD0152;3.2;12061952
QSO_481;RD0152;3.25;12061943
QSO_482;RD0152;3.25;12061944
QSO_483;RD0152;3.25;12061945
QSO_484;RD0152;3.25;12061946
QSO_485;RD0152;3.25;12061947
QSO_486;RD0152;3.25;12061948
QSO_487;RD0152;3.25;12061949
QSO_488;RD0152;3.25;12061950
QSO_489;RD0152;3.25;12061951
QSO_490;RD0152;3.25;12061952
QSO_491;RD0152;3.3;12061943
QSO_492;RD0152;3.3;12061944
QSO_493;RD0152;3.3;12061945
QSO_494;RD0152;3.3;12061946
QSO_495;RD0152;3.3;12061947
QSO_496;RD0152;3.3;12061948
QSO_497;RD0152;3.3;12061949
QSO_498;RD0152;3.3;12061950
QSO_499;RD0152;3.3;12061951
QSO_500;RD0152;3.3;12061952
QSO_501;RD0152;3.35;12061943
QSO_502;RD0152;3.35;12061944
QSO_503;RD0152;3.35;12061945
QSO_504;RD0152;3.35;12061946
QSO_505;RD0152;3.35;12061947
QSO_506;RD0152;3.35;12061948
QSO_507;RD0152;3.35;12061949
QSO_508;RD0152;3.35;12061950
QSO_509;RD0152;3.35;12061951
QSO_510;RD0152;3.35;12061952
QSO_511;RD0152;3.4;12061943
QSO_512;RD0152;3.4;12061944
QSO_513;RD0152;3.4;12061945
QSO_514;RD0152;3.4;12061946
QSO_515;RD0152;3.4;12061947
QSO_516;RD0152;3.4;12061948
QSO_517;RD0152;3.4;12061949
QSO_518;RD0152;3.4;12061950
QSO_519;RD0152;3.4;12061951
QSO_520;RD0152;3.4;12061952
QSO_521;RD0152;3.45;12061943
QSO_522;RD0152;3.45;12061944
QSO_523;RD0152;3.45;12061945
QSO_524;RD0152;3.45;12061946
QSO_525;RD0152;3.45;12061947
QSO_526;RD0152;3.45;12061948
QSO_527;RD0152;3.45;12061949
QSO_528;RD0152;3.45;12061950
QSO_529;RD0152;3.45;12061951
QSO_530;RD0152;3.45;12061952
QSO_531;RD0152;3.5;12061943
QSO_532;RD0152;3.5;12061944
QSO_533;RD0152;3.5;12061945
QSO_534;RD0152;3.5;12061946
QSO_535;RD0152;3.5;12061947
QSO_536;RD0152;3.5;12061948
QSO_537;RD0152;3.5;12061949
QSO_538;RD0152;3.5;12061950
QSO_539;RD0152;3.5;12061951
QSO_540;RD0152;3.5;12061952
QSO_541;RD0152;3.55;12061943
QSO_542;RD0152;3.55;12061944
QSO_543;RD0152;3.55;12061945
QSO_544;RD0152;3.55;12061946
QSO_545;RD0152;3.55;12061947
QSO_546;RD0152;3.55;12061948
QSO_547;RD0152;3.55;12061949
QSO_548;RD0152;3.55;12061950
QSO_549;RD0152;3.55;12061951
QSO_550;RD0152;3.55;12061952
QSO_551;RD0152;3.6;12061943
QSO_552;RD0152;3.6;12061944
QSO_553;RD0152;3.6;12061945
QSO_554;RD0152;3.6;12061946
QSO_555;RD0152;3.6;12061947
QSO_556;RD0152;3.6;12061948
QSO_557;RD0152;3.6;12061949
QSO_558;RD0152;3.6;12061950
QSO_559;RD0152;3.6;12061951
QSO_560;RD0152;3.6;12061952
QSO_561;RD0152;3.65;12061943
QSO_562;RD0152;3.65;12061944
QSO_563;RD0152;3.65;12061945
QSO_564;RD0152;3.65;12061946
QSO_565;RD0152;3.65;12061947
QSO_566;RD0152;3.65;12061948
QSO_567;RD0152;3.65;12061949
QSO_568;RD0152;3.65;12061950
QSO_569;RD0152;3.65;12061951
QSO_570;RD0152;3.65;12061952
QSO_571;RD0152;3.7;12061943
QSO_572;RD0152;3.7;12061944
QSO_573;RD0152;3.7;12061945
QSO_574;RD0152;3.7;12061946
QSO_575;RD0152;3.7;12061947
QSO_576;RD0152;3.7;12061948
QSO_577;RD0152;3.7;12061949
QSO_578;RD0152;3.7;12061950
QSO_579;RD0152;3.7;12061951
QSO_580;RD0152;3.7;12061952
QSO_581;RD0152;3.75;12061943
QSO_582;RD0152;3.75;12061944
QSO_583;RD0152;3.75;12061945
QSO_584;RD0152;3.75;12061946
QSO_585;RD0152;3.75;12061947
QSO_586;RD0152;3.75;12061948
QSO_587;RD0152;3.75;12061949
QSO_588;RD0152;3.75;12061950
QSO_589;RD0152;3.75;12061951
QSO_590;RD0152;3.75;12061952
QSO_591;RD0152;3.8;12061943
QSO_592;RD0152;3.8;12061944
QSO_593;RD0152;3.8;12061945
QSO_594;RD0152;3.8;12061946
QSO_595;RD0152;3.8;12061947
QSO_596;RD0152;3.8;12061948
QSO_597;RD0152;3.8;12061949
QSO_598;RD0152;3.8;12061950
QSO_599;RD0152;3.8;12061951
QSO_600;RD0152;3.8;12061952
QSO_601;RD0152;3.85;12061943
QSO_602;RD0152;3.85;12061944
QSO_603;RD0152;3.85;12061945
QSO_604;RD0152;3.85;12061946
QSO_605;RD0152;3.85;12061947
QSO_606;RD0152;3.85;12061948
QSO_607;RD0152;3.85;12061949
QSO_608;RD0152;3.85;12061950
QSO_609;RD0152;3.85;12061951
QSO_610;RD0152;3.85;12061952
QSO_611;RD0152;3.9;12061943
QSO_612;RD0152;3.9;12061944
QSO_613;RD0152;3.9;12061945
QSO_614;RD0152;3.9;12061946
QSO_615;RD0152;3.9;12061947
QSO_616;RD0152;3.9;12061948
QSO_617;RD0152;3.9;12061949
QSO_618;RD0152;3.9;12061950
QSO_619;RD0152;3.9;12061951
QSO_620;RD0152;3.9;12061952
QSO_621;RD0152;3.95;12061943
QSO_622;RD0152;3.95;12061944
QSO_623;RD0152;3.95;12061945
QSO_624;RD0152;3.95;12061946
QSO_625;RD0152;3.95;12061947
QSO_626;RD0152;3.95;12061948
QSO_627;RD0152;3.95;12061949
QSO_628;RD0152;3.95;12061950
QSO_629;RD0152;3.95;12061951
QSO_630;RD0152;3.95;12061952
QSO_631;RD0152;4;12061943
QSO_632;RD0152;4;12061944
QSO_633;RD0152;4;12061945
QSO_634;RD0152;4;12061946
QSO_635;RD0152;4;12061947
QSO_636;RD0152;4;12061948
QSO_637;RD0152;4;12061949
QSO_638;RD0152;4;12061950
QSO_639;RD0152;4;12061951
QSO_640;RD0152;4;12061952
